"Repo","ScriptPath","WebPort","BackendSync","PidStable"
"advanced-memory-mcp","advanced-memory-mcp\webapp\start.ps1","10704","True","True"
"alexa-mcp","alexa-mcp\web_sota\start.ps1","10800","False","True"
"avatar-mcp","avatar-mcp\docker\gitlab\start.ps1","Unknown","False","True"
"avatar-mcp","avatar-mcp\webapp\start.ps1","10792","True","True"
"beyondcompare-mcp","beyondcompare-mcp\web_sota\start.ps1","10840","False","True"
"blender-mcp","blender-mcp\webapp\start.ps1","Unknown","True","True"
"bookmarks-mcp","bookmarks-mcp\web_sota\start.ps1","10802","False","True"
"calibre-mcp","calibre-mcp\webapp\start.ps1","Unknown","True","True"
"dark-app-factory","dark-app-factory\web\start.ps1","10738","False","True"
"database-operations-mcp","database-operations-mcp\web\start.ps1","10708","False","True"
"database-operations-mcp","database-operations-mcp\web_sota\start.ps1","10708","False","True"
"davinci-resolve-mcp","davinci-resolve-mcp\web_sota\start.ps1","10842","False","True"
"devices-mcp","devices-mcp\webapp\start.ps1","Unknown","True","True"
"directmedia-mcp","directmedia-mcp\web_sota\start.ps1","10706","False","True"
"docker-mcp","docker-mcp\web_sota\start.ps1","10806","False","True"
"edge-bookmark-mcp-server","edge-bookmark-mcp-server\web_sota\start.ps1","10706","False","True"
"email-mcp","email-mcp\webapp\start.ps1","10812","False","True"
"fastsearch-mcp","fastsearch-mcp\web_sota\start.ps1","10844","False","True"
"filesystem-mcp","filesystem-mcp\webapp\start.ps1","Unknown","True","True"
"fullstack-demo","fullstack-demo\START.ps1","Unknown","False","True"
"games-app","games-app\games-mcp\web_sota\start.ps1","Unknown","False","True"
"games-app","games-app\web_sota\start.ps1","Unknown","False","True"
"gimp-mcp","gimp-mcp\webapp\start.ps1","Unknown","True","True"
"git-github-mcp","git-github-mcp\web\start.ps1","10702","False","True"
"gtfs-mcp","gtfs-mcp\web_sota\start.ps1","10706","False","True"
"handbrake-mcp","handbrake-mcp\web_sota\start.ps1","10706","False","True"
"home-assistant-mcp","home-assistant-mcp\web_sota\start.ps1","10834","False","True"
"immich-mcp","immich-mcp\web_sota\start.ps1","10838","False","True"
"inkscape-mcp","inkscape-mcp\web_sota\start.ps1","Unknown","True","True"
"llm-txt-mcp","llm-txt-mcp\web_sota\start.ps1","10836","False","True"
"local-llm-mcp","local-llm-mcp\web_sota\start.ps1","10832","False","True"
"mcp-central-docs","mcp-central-docs\start.ps1","Unknown","True","True"
"mcp-federation-hub","mcp-federation-hub\webapp\start.ps1","10856","False","True"
"mcp-studio","mcp-studio\start.ps1","Unknown","True","True"
"moltbot-mcp","moltbot-mcp\web_sota\start.ps1","10706","False","True"
"monitoring-mcp","monitoring-mcp\web_sota\start.ps1","10808","False","True"
"multi-backup-mcp","multi-backup-mcp\start.ps1","Unknown","True","True"
"multi-backup-mcp","multi-backup-mcp\web_sota\start.ps1","10798","False","True"
"myai","myai\projects\bob_and_alice\start.ps1","Unknown","False","True"
"myai","myai\projects\calibre_plus\start.ps1","Unknown","True","True"
"myai","myai\projects\character_conversation\start.ps1","Unknown","False","True"
"myai","myai\projects\code_assistant\start.ps1","Unknown","True","True"
"myai","myai\projects\document_viewer\start.ps1","Unknown","False","True"
"myai","myai\projects\future_you\start.ps1","Unknown","False","True"
"myai","myai\projects\gemini_tools\start.ps1","Unknown","False","True"
"myai","myai\projects\hunyuan_worldplay\start.ps1","Unknown","True","True"
"myai","myai\projects\immich_plus\start.ps1","Unknown","False","True"
"myai","myai\projects\plex_plus\start.ps1","Unknown","False","True"
"myai","myai\projects\research_assistant\start.ps1","Unknown","True","True"
"myai","myai\projects\stablediff_gradio\start.ps1","Unknown","False","True"
"myai","myai\projects\teams_debate\start.ps1","Unknown","False","True"
"myai","myai\projects\video_generator\start.ps1","Unknown","True","True"
"myai","myai\projects\voice_ai_suite\start.ps1","Unknown","True","True"
"myai","myai\projects\wan_video_bridge\start.ps1","Unknown","True","True"
"myai","myai\src\webapp\start.ps1","10792","False","True"
"myconf","myconf\start.ps1","Unknown","False","True"
"mywienerlinien","mywienerlinien\start.ps1","Unknown","False","True"
"nest-protect-mcp","nest-protect-mcp\web_sota\start.ps1","10828","False","True"
"netatmo-weather-mcp","netatmo-weather-mcp\web_sota\start.ps1","10822","False","True"
"notepadpp-mcp","notepadpp-mcp\web_sota\start.ps1","10814","False","True"
"notion-mcp","notion-mcp\web_sota\start.ps1","10810","False","True"
"obs-mcp","obs-mcp\web_sota\start.ps1","Unknown","True","True"
"observability-mcp","observability-mcp\web_sota\start.ps1","10824","False","True"
"obsidian-mcp","obsidian-mcp\web_sota\start.ps1","10706","False","True"
"ocr-mcp","ocr-mcp\web_sota\start.ps1","Unknown","True","True"
"onenote-mcp","onenote-mcp\web_sota\start.ps1","10706","False","True"
"openclaw-molt-mcp","openclaw-molt-mcp\scripts\start.ps1","Unknown","True","True"
"openclaw-molt-mcp","openclaw-molt-mcp\web_sota\start.ps1","10706","False","True"
"robofang","robofang\dashboard\start.ps1","Unknown","False","True"
"osc-mcp","osc-mcp\web_sota\start.ps1","10766","True","True"
"paperless-ngx","paperless-ngx\start.ps1","10854","False","True"
"pinokio-mcp","pinokio-mcp\web\scripts\start.ps1","Unknown","True","True"
"pinokio-mcp","pinokio-mcp\web_sota\start.ps1","10816","False","True"
"plex-mcp","plex-mcp\webapp\start.ps1","Unknown","True","True"
"pywinauto-mcp","pywinauto-mcp\web_sota\start.ps1","10788","False","True"
"qbt-mcp","qbt-mcp\web_sota\start.ps1","10706","False","True"
"readly-mcp","readly-mcp\start.ps1","Unknown","False","True"
"readly-mcp","readly-mcp\web_sota\start.ps1","Unknown","False","True"
"reaper-mcp","reaper-mcp\start.ps1","Unknown","False","True"
"reaper-mcp","reaper-mcp\web_sota\start.ps1","10796","False","True"
"repomix-mcp","repomix-mcp\web_sota\start.ps1","10706","False","True"
"resolume-mcp","resolume-mcp\web_sota\start.ps1","10770","False","True"
"resonite-mcp","resonite-mcp\web_sota\start.ps1","10714","True","True"
"reversing-mcp","reversing-mcp\web_sota\start.ps1","10706","False","True"
"ring-mcp","ring-mcp\web_sota\start.ps1","10706","True","True"
"robotics-mcp","robotics-mcp\web\scripts\start.ps1","Unknown","False","True"
"robotics-mcp","robotics-mcp\webapp\start.ps1","Unknown","True","True"
"robotics-mcp","robotics-mcp\webapp\frontend\start.ps1","10706","False","True"
"rustdesk-mcp","rustdesk-mcp\start.ps1","10804","False","True"
"sdr-mcp","sdr-mcp\web_sota\start.ps1","10706","False","True"
"songgeneration-mcp","songgeneration-mcp\web_sota\start.ps1","10706","False","True"
"suno-mcp","suno-mcp\web_sota\start.ps1","10706","False","True"
"system-admin-mcp","system-admin-mcp\web_sota\start.ps1","Unknown","False","True"
"tailscale-mcp","tailscale-mcp\web_sota\start.ps1","10820","False","True"
"unity3d-mcp","unity3d-mcp\web_sota\start.ps1","10830","False","True"
"universal-actuator-mcp","universal-actuator-mcp\webapp\start.ps1","10854","False","True"
"vienna-live-mcp","vienna-live-mcp\web_sota\start.ps1","10706","False","True"
"virtualdj-mcp","virtualdj-mcp\web_sota\start.ps1","10706","False","True"
"virtualization-mcp","virtualization-mcp\webapp\start.ps1","Unknown","True","True"
"vrchat-mcp","vrchat-mcp\start.ps1","Unknown","False","True"
"vroidstudio-mcp","vroidstudio-mcp\web_sota\start.ps1","10706","False","True"
"web-development-mcp","web-development-mcp\web_sota\start.ps1","10852","False","True"
"windows-operations-mcp","windows-operations-mcp\start.ps1","Unknown","True","True"
"windows-operations-mcp","windows-operations-mcp\web_sota\start.ps1","Unknown","True","True"
"winrar-mcp","winrar-mcp\web_sota\start.ps1","10762","True","True"
"worldlabs-mcp","worldlabs-mcp\web\start.ps1","Unknown","True","True"
